LLTC,-0.000591072
LLY,-5.04E-05
LMT,-0.000592564
LM,-0.003537121
LNC,-0.002412032
LOW,-0.000686352
LSI,-0.00460136
LTD,-0.003673207
LTR,-0.002423932
LUK,0.004285039
LUV,0.001261882
LXK,-0.002713188
MAR,-0.002800998
MAS,-0.002998717
MAT,0.000338159
MA,-0.002284128
MBI,0.000860377
MCD,-0.000316827
MCHP,-0.000594088
MCK,-0.000941578
MCO,-0.00335025
MDP,-0.000942134
MDT,0.002676937
MEE,-0.000970188
MER,-0.002409077
MET,-5.39E-05
MFE,0.000311262
MHP,-0.00382923
MHS,0.000556965
MIL,0.000443686
MI,-0.001192095
MMC,-0.00267622
MMM,0.000941339
MNST,-0.004004665
MOLX,0.000135239
MON,0.00139846
MOT,0.00048392
MO,-0.000768831
MRK,0.000523778
MRO,-0.003320698
MSFT,5.25E-05
MS,-0.002768214
MTB,-0.000671382
MUR,0.000877979
MU,-0.00562854
MWV,-0.001666382
MYL,-0.004930742
M,-0.00165709
NBL,-0.000347485
NBR,-0.002664566
NCC,-0.003374377
NDAQ,0.000374706
NEM,0.001934018
NI,-0.002385157
NKE,0.001233071
NOC,0.00072894
NOVL,-0.001439491
NOV,0.003176142
NSC,-0.001897504
NSM,-0.000479757
NTAP,-0.001612513
NTRS,0.00042249
NT,-0.005130788
NUE,-0.002578327
NVDA,0.001960242
NVLS,-0.001996143
NWL,0.000498998
NWS,0.00107132
NX,-0.001768205
NYT,-0.004548643
NYX,-0.002780639
ODP,-0.006997055
ORCL,0.001065255
OXY,0.000556728
PAYX,0.001808132
PBG,-0.000675103
PBI,-0.000237167
PCAR,-0.000598054
PCG,-0.001460443
PCL,0.001153283
PCP,0.001758466
PDCO,0.000226935
PEG,0.000519471
PEP,0.001178803
PFE,-0.000620043
PFG,-0.000429694
PGN,-0.000696363
PGR,-0.002262178
PG,0.002564388
PHM,-0.003261138
PH,0.002065814
PKI,0.00124933
PLD,0.002200998
PLL,-0.001252398
PLMD,0.001406845
PNC,-0.000772362
PNW,-0.002788239
POM,-0.000269616
PPG,0.00143805
PPL,0.000196218
PRU,-0.001028101
PSA,-0.000545482
PTV,-0.002714737
PXD,-0.003004678
PX,0.002017505
QCOM,0.000154187
QLGC,-0.003370932
Q,0.001460366
RAI,0.000661198
RDC,-0.003089035
RF,-0.001566257
RHI,0.000430185
RIG,-0.001326987
RL,-0.003184572
ROH,-0.000468833
ROK,-0.000583483
RRC,9.10E-05
RRD,-0.003686053
RSH,-0.003351211
RX,0.000247247
R,-0.001532398
SBUX,-9.18E-05
SCHW,-0.000919369
SEE,-0.00325583
SE,0.000823334
SGP,-0.000297797
SHLD,-0.001732505
SHW,0.000604733
SIAL,0.001725716
SII,0.00231914
SJM,-0.000645328
SLB,0.002392651
SLE,-0.000794572
SLM,-0.002059175
SNA,-0.001764258
SNDK,-0.001617192
SNS,0.001215849
SOV,-0.003464854
SO,0.001037128
SPG,-0.000419419
SPLS,0.000309332
SRE,-0.001983321
SSS,0.00141378
STI,-0.001570948
STJ,0.000982009
STR,-0.001423188
STT,-0.002292752
STZ,0.000395797
SUN,-0.001411337
SVU,-0.002011229
SWK,-0.0005831
SWN,-0.00425524
SWY,0.000332605
SYK,0.001619037
SYMC,-0.000979293
SYY,0.00027741
S,-0.003098433
TAP,0.000675056
TEG,-0.001289235
TER,-0.002981014
TE,-0.000824869
TGT,-6.88E-05
THC,-0.010968588
TIE,-0.000222486
TIF,1.92E-05
TJX,0.001127487
TLAB,-0.003680263
TMK,-0.001327051
TMO,0.000708756
TROW,-0.000514565
TRV,-0.001020326
TSN,-0.002107149
TSO,-0.003934167
TSS,-0.000181666
TWX,-0.000857498
TXN,0.00084584
TXT,-0.001445118
TYC,-0.001500664
T,0.001420754
UIS,-0.00207407
UNH,-0.000154417
UNM,-0.001202739
UNP,-0.00107498
UPS,0.001155634
USB,-0.000339881
UTX,0.001301841
VAR,-9.23E-05
VFC,-0.001300517
VLO,-0.001419039
VMC,-0.004074074
VNO,-0.001662365
VRSN,0.003754283
VZ,0.000151774
WAG,0.000791991
WAT,0.002532299
WB,-0.001226843
WEC,-0.00092481
WFC,0.001294963
WFMI,0.000195655
WFR,-0.001635067
WFT,0.002949687
WHR,-0.003292188
WIN,-0.000612833
WLP,0.000426435
WMB,-0.000500894
WMI,-0.001116795
WMT,-0.000962261
WPI,-0.000523042
WPO,0.001035426
WU,-0.000602871
WYE,-0.001775895
WYN,-0.002351054
WY,-0.002487048
XEL,0.000375962
XLNX,0.000672269
XL,-0.001156286
XOM,0.001738539
XRX,-0.00177701
XTO,-0.001255481
X,-0.004181759
YHOO,-0.000498031
YUM,-0.001061398
ZION,-0.001831656
ZMH,-0.000206729
