,20070620,20070621,20070622,20070625,20070626,20070627,20070628,20070629,20070702,20070703,20070705,20070706,20070709,20070710,20070711,20070712,20070713,20070716,20070717,20070718,20070719,20070720,20070723,20070724,20070725,20070726,20070727,20070730,20070731,20070801,20070802,20070803,20070806,20070807,20070808,20070809,20070810,20070813,20070814,20070815,20070816,20070817,20070820,20070821,20070822,20070823,20070824,20070827,20070828,20070829,20070830,20070831,20070904,20070905,20070906,20070907,20070910,20070911,20070912,20070913,20070914,20070917,20070918,20070919,20070920
ADM,6401500,5526200,9296943,8043016,5044900,10407616,7857570,6524942,7174435,2867515,6838670,7648569,11164795,6793945,4860200,4989006,3603899,3501381,5170900,3351180,2998654,2997200,4778249,5589842,3976889,8233331,4952100,7271700,4483400,5370400,4407000,3920400,5751500,4664600,5505200,6116300,6771600,4435600,4687400,4883514,7979400,5024621,3591152,3815500,4984400,4495700,2972600,3042615,3140100,3416800,4757200,2946700,3165600,4954600,3159400,4384800,4094000,6111900,4883046,5060600,4478381,3402100,5717200,5811000,3961300
ADP,1931900,1551100,1805800,1916900,1706600,2324800,1994760,1840500,1789274,1317200,1321000,1777700,1811500,2047400,1649900,1797900,1625100,1060200,1895300,2704825,1415519,2336185,1361800,2018300,2293000,5348067,3733200,2894600,3587000,4539650,2546500,3936200,4353700,3915400,3397400,3488700,2904300,2346000,2031875,1961700,3829000,3231800,1719200,1179200,1353100,1603000,2237800,1383200,1527500,2053900,2731800,3077300,2622724,2270100,2125500,4009300,3756100,3217647,2826500,2715500,1694800,1818300,2690500,3178800,2228238
ADSK,3124356,4137316,3359176,3292031,2668997,3111061,3019140,4241055,2101990,2231940,6316480,6029025,3237494,2534066,2893666,3291619,2003909,3148470,1303799,2871029,2316097,4729756,2178137,3687234,3173242,5603800,2725643,2739968,3589922,6571707,8261469,4291542,2547535,3490104,3543142,3933687,2727365,3448137,2477974,2652682,4021813,4496082,3583281,2658105,2308270,1717430,1231041,1363782,1563441,1125612,1438861,1532635,1519556,1442919,1158969,2064709,2015928,1178492,1800109,1461245,1799646,1515704,2453467,5388226,1998673
AEE,881900,913100,1242700,1381800,1487500,1404000,838519,1014500,1295700,587800,1050700,644500,755400,1077700,1007500,885100,897900,588722,1262200,2268000,1289800,1443300,1016500,2115300,2609500,2972500,2282800,1701800,1551700,2147500,2689000,2847300,1909800,1655900,2332100,3125500,1902000,1780400,1525700,1576600,2473900,1425200,1074700,1161500,1127400,1977500,858000,1833100,1535600,881400,1153400,906800,790600,1050000,867300,1155100,1073500,918300,943000,732663,843600,636600,1050900,1266400,674600
AEP,1739525,1623573,1695400,2667102,2725400,2720200,1897700,2666300,1627241,1079100,2245900,1601800,2026964,2204500,1486500,1913300,2332500,1856400,1983100,2342100,2337600,2383100,1490400,1878101,2831562,3757235,3470200,2836300,4006000,3274046,1873400,2816300,2707100,3542100,3434900,3006800,2880900,2485700,2249600,1687800,4204500,3449198,1597100,1861400,1791300,1462000,811300,2394481,2312429,4007200,3168900,1606600,1531000,1568900,998300,1948900,2087200,1533702,1707600,1237900,1255100,1204200,1887040,1524000,1150995
AES,3123286,5642642,7033200,6289372,6232296,5572312,3514457,5274488,4931620,2437500,4247488,3300300,3581200,4394661,4027900,6869305,2992500,4118200,3913137,4289372,6718120,7354881,4356761,4971038,5463845,5284601,5513700,7884200,7719000,7693510,5694400,6401600,11238100,11573300,7821900,6876000,7223900,5698100,4592800,5946401,7693300,7630220,3209900,3663100,4899700,3509000,2913300,4531834,4378300,4605300,2862800,3201100,4690200,4361500,5407900,5484200,3748800,4513100,3231000,2535100,2516700,5590800,5404900,5628200,3671500
AET,2809500,2419200,3514700,2577400,2677410,2188500,2178118,1542503,1853421,934300,2288800,1881184,1223600,2305300,1763900,2282400,1521100,2633000,1872630,3887246,2914600,2658900,2751892,2747169,4186136,5323608,3739900,3699800,3986500,5323421,5130700,4493400,3698800,3075600,4681900,6292800,4569400,3760300,3660900,5155207,5840700,3989000,2381400,2542800,2355300,2755800,2193000,2609150,2336600,1849000,1730000,1780100,2237500,2425800,2769500,2996100,1766200,1959900,2349700,1977600,2596482,2415700,5955000,3334900,2533900
AFL,1502937,2147015,2256800,1981700,1409100,1567800,1248520,1531300,1238500,823636,1103100,1081900,1254700,1850800,1448500,1501855,1859300,1507400,1774100,2435000,1164500,2052000,2854700,2934192,8804837,4619883,3478893,2779200,2536000,3345406,2258300,2833000,4343300,4637400,3681700,5745900,5070300,2736000,2715400,2898228,4000000,3000500,1656700,3124100,3340900,1402800,1399300,1008900,1332400,1419800,1329200,966900,1802800,1466300,1806200,1476300,1235900,1411100,912063,1564000,1785227,1759400,2405300,1611800,1131700
AIG,8833988,10338069,10045563,12876844,8833194,12731097,8152408,10731826,8325150,4696211,7405094,7209112,7285086,14538563,14469600,13285711,10817843,8409205,10198587,16385658,12129784,15220977,12020070,18472730,15637423,25972680,21437372,17442800,17326000,34346647,16334264,24614338,21640000,20028200,16005000,22848000,17376800,13097000,13388400,11813834,20143300,20743790,9784400,8915400,15578100,11438800,10989500,5386106,8348527,6277500,6024600,7051200,9167500,9342250,8365600,12243774,8801600,8655600,7683000,8555800,7587823,5884300,15691066,11869762,8463600
AIV,1046494,1056800,973274,1230500,1052815,1386100,1905006,2442557,785200,633500,962600,829500,795800,1303718,1309700,820300,628700,917062,927000,1268300,969800,1042875,661900,877597,1192602,1619181,1980300,1150100,1542400,2258400,2355200,1683900,3129900,2454400,2033500,1839000,1716100,1284700,1849700,1426400,2012900,1731700,1549800,1056500,1215800,929100,783800,913100,1188700,1259000,1011800,924700,832900,953700,757300,986100,857100,995700,1056000,1241500,1741400,510800,1680600,1515400,512000
AIZ,252907,475700,434300,514700,544600,454398,295229,462200,487600,256700,1305200,575158,563700,837700,461700,469800,378200,420043,10909637,4281912,2235946,1954400,1054800,1484029,1366622,1569705,1402400,1224795,3771700,1600866,2105800,2855400,2081000,2335100,2455200,2283400,3107900,1430600,1615100,1040725,1486700,1633500,960300,511400,1273300,713100,388100,583800,929300,669700,850300,798100,510600,1494100,1525000,1057400,743000,864600,1072200,941400,633986,594900,1397400,1019700,1045500
AKAM,3291880,3105116,2181463,3387556,3415563,2756021,4804508,4455968,2077747,1129857,2301944,2413297,2303953,9299750,9312445,4628198,3141736,4635767,2150704,2491405,2742834,2765657,2892123,5628095,6060702,29929311,9988855,6455551,8525406,9994192,8113888,4960072,4269162,4357996,7722661,8501106,5725104,3931552,4368845,5832868,9390390,6922289,3757026,2825252,3232594,5254590,5256669,3889265,3478083,3002835,2779415,3430294,3091240,2906642,4092924,4497168,3909926,5159821,4175749,3032139,2947650,2665250,3336644,3915705,7109155
AKS,1984300,3594425,6041413,3701200,2797200,3273552,2125054,2195990,1910700,1021200,1503172,2102300,1823200,1724800,2047300,1745640,1462700,2964300,1725400,1692500,2200200,2058291,3665342,8471189,4705575,4901237,4424600,3965400,2736757,3477750,3041400,2836200,4447100,3371200,3746100,8299700,4654300,2610800,2077800,2302700,9359300,4175800,3762529,2143400,3127300,2751400,2700400,2161700,2485100,2241500,1800500,3626000,2208300,2071300,1983700,2778100,2795100,2170950,2561100,1855200,1566800,2261100,2613500,3570032,1802100
ALL,2839706,3012832,2835254,2851555,2445000,2848570,4344700,2732800,2438764,1423800,2055900,1547700,2024400,2704377,2303100,2905937,2747429,1722200,2590900,3819200,6549400,6695815,4117200,6051679,6099854,8229805,8559700,6472000,7615400,7767732,5769000,6354300,7237900,5029500,5152800,5646400,6559700,3777800,4050300,4048679,5472600,6104100,3306300,2152600,3182200,2385100,2175300,1779300,3325500,2959300,3319900,2333200,2573400,2244000,2955100,3417600,3145800,3039700,2833600,2051600,1757200,2488800,3986500,3523095,5431225
ALTR,5412009,5796288,8574183,7496353,9076286,8325001,4434270,6263604,4903173,2878783,5219978,4922450,5918602,6238828,5325847,5253163,3652637,4346784,7837240,6293227,4501030,8188267,8461118,10269348,8141447,7965765,9362582,5590432,6680512,7241781,5494869,7207897,6893727,6988051,9757014,15408706,10007474,10067716,5376072,6206996,10673293,9297592,4458422,4662049,4992202,4052586,2960692,3548862,3204666,3691866,3354713,3795452,4906716,4856198,3676022,4687893,4228329,2814233,2722313,2705877,3732671,2370095,3779969,3412693,4304387
AMAT,22664707,27145965,26240052,22781870,17464248,28114321,19471353,13509061,11696687,7172114,13882179,11665212,16146418,21947513,22059862,30549173,35988865,16459696,63612635,27998694,17813178,18943047,12063767,24173589,28179622,39078133,25366007,26711431,27471575,36276064,32992615,37113349,33868340,33653207,28434337,34878049,30898789,19405749,23213195,32354243,30267047,25782835,15573734,15361299,17840878,14593194,11144523,10910438,12737491,13133414,18622054,18864918,17853308,12475660,11051199,19183747,17072573,12106480,17336841,12650640,13469175,9991492,13342575,16549330,16899282
AMB,860900,595000,682100,870300,803681,1131200,579600,904000,763600,441700,557100,435900,391400,504731,473300,421713,593500,531000,722900,1133900,726200,801500,1060400,1250998,1767786,1410312,1292610,909300,829700,1005200,1492600,912800,1217700,1056500,1040500,1469100,1189500,1025200,1359800,1835173,2508600,1748200,902700,837700,466500,470600,542600,509200,658400,430800,421500,536300,607100,523600,646000,353100,731700,563800,670900,687400,452400,387700,991000,935300,390200
AMD,28351979,50973065,23539216,19521278,15112424,21654602,16367506,18091232,15728100,6123634,15172579,18377623,17625010,15115437,21449699,31957648,18426717,29398253,22260139,35706053,33894164,36280142,19794270,26971185,35652314,44038018,42940017,26658939,31412430,24286841,16840900,21683798,34914300,23271700,30143500,39066100,23125900,18783900,19637800,22395870,32000600,25290300,22016300,11077602,23696000,18638600,11524000,12943539,13185800,21829200,27941748,23550300,21819566,16901400,11324300,11808601,28514100,18799950,17359400,13061460,11213000,13637359,25711300,23925583,19967600
AMGN,11349235,12972876,11518270,11590276,10788219,10885848,7496626,7923812,8972221,4024602,10292725,5139119,6160078,11309363,8964658,8533093,12173355,8216410,10733473,6956900,6745560,10730788,9150303,8898550,9350393,12371873,11904019,6376473,22440489,25283501,9757460,8973641,8553479,9005624,9287879,9326674,12720603,8975871,6714022,12917166,15631095,15278262,8007986,6837253,9365028,10142138,5901375,5038663,7732161,6883302,7911321,6009422,7726393,17029112,7913445,11762600,6245401,20193005,24431841,16626058,7253584,9477260,9946196,8336536,5816724
AMP,812600,1138700,1042400,952200,1306900,1257500,1041369,921500,995000,579800,570100,496600,697400,1125500,810900,713000,617200,805792,920000,1160000,769090,2207920,1290800,1455774,2303353,2560031,2837200,2131000,2857600,2408077,1750100,3169950,2424500,2672100,3340500,3620000,3814400,1722300,1559100,2011343,3356900,2469900,1280100,1386000,1578600,1111200,1228800,796741,1126100,1262300,953900,1337300,1264600,1109900,1295400,1381800,1793500,1086300,883200,988100,1060000,878300,1873060,1998100,1267100
AMT,1461179,2016900,1265500,1743600,2408100,2927400,1999700,2405616,2519100,864200,1175400,1737900,1182500,1961551,3137800,2620000,1137400,2253300,2019200,4049000,3839000,3051200,2086700,2361900,2105076,3427200,4573500,3759200,2798600,4783500,5508300,3968500,4703500,3160600,4059200,5547600,3109500,2684400,2413900,5271520,6122100,5839200,2316300,3459500,3565200,2231100,1455100,1055100,1705700,2014900,2402700,2559200,2073764,3083500,2329200,1636200,1833600,1858800,1698000,2163800,1573300,2863600,2676200,1997000,1511700
AMZN,8336271,7203335,6333786,6963711,9814680,7755186,8975724,4951871,4417731,2111835,4208174,4204354,13748382,7706362,5909308,10645228,11219058,7668979,5595709,5671474,4279282,8250618,8093830,12677761,51657898,21423675,12699268,11276945,12864930,15258645,9557379,7224758,8116753,6167137,7251017,7537117,8269981,5533905,5400346,6023626,9845223,6388123,5232105,7524402,6170855,5374835,5260710,6005321,5036073,4572454,4085023,5636379,7748574,8341079,8164864,7556599,4991242,6485800,8228433,5459881,3594198,4080718,8133535,5841969,5212680
ANF,1162100,1412348,2796200,1981163,2133000,1825800,2321310,1069000,800100,581800,1111800,1015800,1321300,4046980,1991000,4365238,1832300,1480400,1358700,1709600,875500,1319700,1621100,1871083,2370196,2565673,1935700,1636700,2318200,3076190,1948100,2277300,2526900,2663813,2523700,3678700,2490600,2030000,1893800,1792900,2920600,2866900,2439900,2062900,2918700,2064400,2098300,1564000,2016100,1568900,1577000,1340500,1126000,1275700,2072800,1335700,1321100,1843300,1146600,1214600,673000,801800,2073900,1578000,2185400
AN,1075500,798800,798018,917100,1157600,1255800,700700,921450,917300,389100,936900,954411,1151125,1205600,1330882,1293600,2005100,1284200,1328000,1273400,800800,1098100,882738,1681600,1657700,3052736,2792800,3564400,3650000,3411668,1857100,2344400,3172200,3758400,4289600,4748400,4590100,2059100,2541400,1362450,2719300,3311535,1555700,1624600,2405700,1841000,3010600,1280953,2429600,2539000,1695100,1648700,1947400,2259000,2090400,3016300,2829800,1745000,2032000,2389700,1912900,1563900,2871000,3752874,1923900
AOC,1820500,917200,1098000,1064535,1058546,1173100,1088800,1706000,688000,522800,710500,920100,1640605,2243700,1550300,1817200,1097900,1832500,1733700,1835891,1492600,1527637,1359400,2158286,1883486,2308769,2475600,2155100,2127000,7109428,2133300,2654991,3247300,3084300,3042900,3885800,2839300,2231800,1528900,1635178,2108700,2868600,1633800,1627000,2522500,1022600,703700,1457700,1260200,1837600,1040200,1195800,1625000,1419200,808900,923300,940500,1002600,1238800,1169700,639600,937100,2260000,1793400,1357400
APA,3166169,2828400,2405377,2718504,4299706,5656800,3356566,2935168,2580356,1325374,2208104,2155400,2560500,2245200,2625700,2135500,4440700,3267200,3564200,3322329,3051200,3280200,2715189,3633309,3700471,5072452,5056300,3283700,3335200,4158303,3352900,4218900,4978800,3812800,4863310,4358868,3168600,2541000,2475400,4192664,6088600,4295600,3503500,2793800,3943200,2510500,2689700,2317800,3451200,3309700,3342300,2323900,2150400,3086470,1979162,2187100,2857387,2675200,3472048,2181187,2778300,2893546,3589222,4361800,3095020
APC,6302470,4289428,3407140,4664698,5653982,3707700,4616239,4237664,3854979,2141441,3430746,2968697,3975003,3051408,2538500,3064953,4280300,2920808,4296069,4676245,2935106,3320155,3428600,3900144,3913025,5985948,5815700,4959200,5545600,5571659,4440700,4085844,4773300,4855200,5393600,7609700,5984900,4148900,3841500,4357331,8217300,4930594,3919300,2881700,3490400,2212600,2293752,2311491,3499300,2900800,3650000,2773800,3216900,3684600,4171900,5913000,3253400,3329500,3624700,2890600,2605900,3375894,4383500,4454628,2451800
APD,956200,806400,1364000,696800,1304069,993700,1336384,791100,849400,470000,600600,596900,669006,877287,1321000,2145700,1082600,1398100,1514600,1378177,1018698,1745800,1616494,1640535,3014500,3121237,3066900,2134800,1902000,1715722,1259600,1616400,2005300,1768400,1722346,1875800,1835600,1352200,1069500,2397926,3556700,2115800,1284600,1360400,2229900,1941754,704500,571364,795100,810400,705800,908100,940600,797450,1043200,945100,913700,1297400,842600,718300,787300,710700,1339500,1305124,856905
APOL,1081939,1737187,1588383,2503427,3358752,2592476,1621449,11785338,3852650,1623418,6153241,4771581,3698560,2999341,2658419,1391804,1754689,1619949,1606353,2437514,1760643,2194269,2653701,3582647,2881875,3645573,3775537,3701379,4100065,2853684,1569462,2152060,3104614,2211154,2963212,4432221,1910247,1344459,1054893,1202102,1767193,1411020,1178630,1165832,1390494,1398870,2456167,1243877,733770,1164678,913647,1003968,1269676,1306516,1265035,1405795,1540534,1235423,1770802,1588726,1498993,1365373,2534031,1958770,979879
