,20070620,20070621,20070622,20070625,20070626,20070627,20070628,20070629,20070702,20070703,20070705,20070706,20070709,20070710,20070711,20070712,20070713,20070716,20070717,20070718,20070719,20070720,20070723,20070724,20070725,20070726,20070727,20070730,20070731,20070801,20070802,20070803,20070806,20070807,20070808,20070809,20070810,20070813,20070814,20070815,20070816,20070817,20070820,20070821,20070822,20070823,20070824,20070827,20070828,20070829,20070830,20070831,20070904,20070905,20070906,20070907,20070910,20070911,20070912,20070913,20070914,20070917,20070918,20070919,20070920
AAPL,-68846970.13,73351146.48,-71763083.72,36273818.57,-140806738.2,124071588,11069352.04,92332022.16,92074283.47,283891614.9,80397238.21,-67275455.16,-260681628.5,20007806.83,-59854368.39,13396473.37,48447446.7,-35542369.24,45567280.31,-122020780.2,60186141.46,329456904.4,26446505.43,-272332610.5,178668458.6,53485654.2,-103081567.8,-59964071.43,-207699336.8,-14584968.51,-16521397.84,-84203181.2,66595620.37,-21545209.76,-92772032.66,-185455026.9,28290727.71,80785071.11,-76250405.79,-58552271.55,-56227831.93,-124534692,24675528.64,125902963.9,60524837.03,-38840247.42,141454680.4,-5889420.729,-25958622.6,186818710.8,76527283.22,20962638.75,143414839.8,-201649808.5,71846606.94,-53561422.79,42874294.53,32868489.37,61235262.35,-105653501.4,32267396.7,31274891.93,151686995.8,-2256794.358,-20255976.87
AA,-4213954.876,10949943.24,-6351222.436,9050462.589,14648984.59,43531136.24,2154210.076,93467797.71,53052887.81,36272536.45,14513730.29,-16412084.72,5517860.753,-13790205.04,5670806.88,-66493157.39,127061542.1,-26263476.05,-2911826.248,-34619912.76,19027365.66,-38721868.26,26298401.08,30519657.25,27277162.27,-32360078.76,-13316177.97,-18134845,-27324484.16,-32174568.35,5310469.07,-10246242.29,-20005276.71,-3608180.533,-12874775.86,-37787295.33,-23505607.03,-20636521.74,-9346905.938,-26501665.08,6126622.318,-31249602.14,-16685128.39,-6176695.135,-3500515.555,-29810555.48,-27802167.71,3349365.143,-15666142.66,-2569665.916,2244088.6,-11752597.7,6596936.157,-10823642.65,14163493.38,-13764403.59,-4969470.827,15709738.92,-15467340.83,5988273.631,-13263711.35,15074077.25,15825309.09,6168966.512,19586500.27
ABI,10157757.6,19990946.6,9225089.217,6599051.232,12295548.31,16717149.06,8106167.128,7012508.596,11668044.61,7960010.441,14364417.42,10091583.98,4867088.059,2101733.37,1091124.179,-2896976.465,5903056.361,4783866.372,-6041905.966,-5120577.026,1373435.477,-11477642.27,-3554636.528,-3320638.728,12729317.84,6490946.891,136435.0444,-2439021.246,934681.1337,2271173.859,-322361.4164,1014442.399,-2968877.724,14303713.52,2732476.005,12373211.05,-8042680.031,-3028408.083,12073149.53,-2520803.161,4405992.827,7255410.156,2508502.224,3864945.549,-4810719.29,-2602317.798,4843710.127,4459829.198,1091581.613,2615460.026,792138.9376,780186.4855,3609457.961,-1896686.588,1768757.173,1380806.262,-349052.0837,363810.7069,-2283887.717,-1107610.108,3938821.147,201299.1056,1139638.591,3550574.063,1584493.033
ABT,20449135.62,18670412.85,-3757811.549,38781445.67,21851336.45,3804806.965,5091246.386,-3156754.909,-3181422.462,-1592679.233,-4949511.723,10331059.75,-6022899.897,11768614.14,35726071.17,43915589.56,-27196375.29,4810249.23,11211491.78,68615391.05,-19834771.07,-6198923.659,8382774.453,-1414537.095,2910481.604,8231949.261,6179804.291,10412158.31,-7856812.138,32021908.34,8845123.57,26526968.5,-29557190.12,-36540393.66,22644483.97,27146336.69,12351522.96,15031910.9,5813879.242,-3743654.039,16102083.11,2276519.596,-4270170.195,13159748.89,390718.7863,-8415704.378,23390939.42,-7306650.88,-21430401,4939160.929,11534680.94,3168887.707,-6005631.057,-2045419.776,18115270.36,-12987291.04,6201640.305,-11490802.71,-4639032.984,25308923.91,-1939271.697,295202.5474,-20178263.1,-16232678.18,14839183.33
ACAS,-46526694.11,-2137261.488,-8474966.323,-14329510.16,-11868433.47,-1037176.446,4194325.488,-5612733.907,2593759.863,3557291.78,865851.0856,-3873635.421,12501155.65,-9224233.029,-2962503.459,298807.3617,-1985265.907,-5671135.915,3730141.965,-1309538.601,-1390792.194,3503110.877,-5107502.202,-16349076.93,-875957.3095,-9817921.646,-9128912.422,8476051.928,4314354.087,-9535824.31,-3503663.012,-8925394.195,-2865286.337,-1937388.808,-6625006.262,11105604.34,9978070.143,-6205801.257,-2830515.347,-6599397.226,-5847518.422,5644476.337,-227022.7327,3632131.21,-856868.5672,-879927.6677,-700049.9215,-534044.6017,-2617730.079,2824328.527,-2856261.389,3602848.133,3665367.496,-2585132.943,-2345332.102,4233358.462,-5729150.577,-609056.0479,657945.3356,2596019.764,2284278.115,1020060.794,14933145.66,-4772690.47,-331283.7371
ACE,3581596.485,1410958.565,11967560.69,14249997.31,-15183665.13,-908248.8662,11042598.43,9143701.689,7566746.518,11012084.36,6097413.469,156342.4629,-6618355.619,-3264624.611,-4215084.157,276301.3179,7729346.98,-1770660.365,-4069715.928,2180443.936,6161.203801,504583.581,-1974984.483,-5295700.353,-927182.1843,-12100492.77,-4853111.368,-169696.6687,-1776005.6,341283.9257,-12273324.64,-6617501.556,-993643.364,-4685583.83,2234345.132,8825077.835,685542.4989,-6174755.971,2131744.446,9350843.582,-2692262.856,-4670579.821,-1044100.616,898075.068,-1631705.319,4415102.573,3428729.892,1681279.196,-4278512.962,-1008853.564,1434273.608,4806695.052,600840.2521,-5234425.132,-446218.3392,1396849.13,6963458.884,-3108400.617,-648018.6557,332015.1573,452455.1364,75833.76985,-288429.0588,-5282097.926,-5443426.491
ACS,-1278567.405,-4167253.421,1566501.216,-245458.6631,-3703575.487,-1202441.73,-253636.1959,2745154.432,526137.7231,269903.3735,2858910.195,1159607.874,-887368.702,-1806933.363,1128471.849,-1704103.178,1212530.876,662116.6342,1124916.924,-6893909.611,1094504.619,2439844.672,-16931.96026,2305621.574,2221747.461,3898388.203,3413133.771,4583294.741,-6468475.555,-1143893.021,-535535.6343,-2114058.641,1314218.274,-13066725.08,279915.6701,777687.5689,385722.9601,3922785.504,-2721075.057,2859037.634,7744112.253,6581823.566,1409236.964,9043878.396,12246450.2,8221717.869,1637432.445,2093090.04,-2398395.671,8235032.827,3556861.892,-2139801.81,1251301.505,-1478177.538,1550533.322,219673.9067,-571435.2894,-64195.25801,237735.8008,4941484.677,39720.17895,-1964491.541,3507475.155,3780023.454,4629128.243
ADBE,-7690855.806,-9140414.525,-7913154.074,-7488153.42,-9543602.813,23121946.1,8387320.556,-10594295.03,1411453.801,11220129.98,6609396.268,7295457.395,-17448222.83,-8384538.384,3134818.995,6251839.117,-11258081.51,-5038697.232,-4772216.107,-11038199.46,4865007.369,-31233959.19,3053177.407,-3365729.195,-13030975.81,-21767503.35,22321947.25,-32561270.97,-12733514.06,-31284971.07,753819.3446,-16729863.86,2087508.498,-3815145.885,-2151061.826,1422233.079,2360264.922,-5642329.088,-6159691.987,-325975.2734,5754664.321,10887572.63,253465.9482,4477666.973,-7606147.646,11169271.29,-13208373.82,9676483.885,-4616885.087,15169003.6,11623069.37,3115121.777,13326509.1,3462545.381,-286190.4755,909427.8929,-4913149.987,13990851.9,1989684.036,-11899874.54,12335777.99,-4180041.48,-2978837.656,-10468555.01,-3832231.606
ADI,6595601.346,29130935.32,17984788.67,17533025.31,-16189431.7,20390625.93,-3201675.34,859718.6245,4839595.399,-2178410.593,6948736.48,6104730.574,-19385256.17,6394666.24,-6799763.241,169509.1927,-4470050.814,-1519288.644,-3801790.79,-9753846.526,857296.7165,5272154.267,-1756146.752,-2130933.02,-5383287.899,1185176.434,2065316.311,-1880087.395,-1183401.611,-780180.9385,6829676.492,-1649074.068,-2821428.786,-3002112.6,3781069.337,-3456369.939,-3881829.693,-348782.5809,-4595935.908,-4624239.575,-5018994.448,-45317.68735,4090712.176,-6288722.417,5208518.6,-11529194.86,-633691.0129,886824.578,-3522274.428,3767126.396,-1420968.08,-2067415.484,2411780.156,-2750098.764,3551922.692,-941773.411,6809944.249,-2333489.328,-7255239.732,-8508937.901,-2631667.672,-1306241.573,-1924970.896,-1292273.4,157815.3392
